TaxaID,TPSID,Lake,Clade,Csize,PC1,PC2,PC3,PC4,PC5
Trematocranus_microstoma,Tremic_LPJ,M,U,30.809936,0.047908337,-0.106068694,-0.020089504,-0.045224275,0.069373152
Tropheops_gracilior,TrograDI-08_LPJ,M,M,14.2516626,-0.032783863,-0.059774287,-0.002263561,-0.007884421,-0.003647238
Tropheops_gracilior,TrograDI-10_LPJ,M,M,11.41189954,0.024861496,-0.091508852,-0.0169318,-0.02282983,0.01509974
Tropheops_gracilior,TrograDI-27_LPJ,M,M,11.26722285,-0.017204471,-0.084205017,-0.030696832,-0.017218694,0.002548727
Tropheops_gracilior,TrograOI-109_LPJ,M,M,12.73018065,-0.006209826,-0.082674289,-0.010424682,-0.002985756,-0.016676783
Tropheops_gracilior,TrograOI-124_LPJ,M,M,12.335777,-0.022491484,-0.084542972,0.003963101,-0.039492271,-0.019232811
Tropheops_gracilior,TrograOI-131_LPJ,M,M,13.14749278,0.033780494,-0.082069572,-0.037684432,-0.019795418,-0.020304349
Tropheops_macrophthalmus,TromacTW-160_LPJ,M,M,10.50299171,-0.009129625,-0.013678868,0.014309697,-0.00523198,-0.001897981
Tropheops_macrophthalmus,TromacTW-161_LPJ,M,M,10.37671114,-0.037222234,-0.024284572,-0.022187202,-0.007622568,-0.004839924
Tropheops_macrophthalmus,TromacTW-163_LPJ,M,M,11.09058418,-0.009015446,0.008069131,-0.016005071,-0.028183927,-0.00426389
Tropheops_microstoma,TromicOI-1147_LPJ,M,M,9.997036317,0.011666202,-0.017829949,-0.011904924,-0.032470867,-0.026809638
Xenochromis_hecqui,Xenhec_LPJ,T,T,34.858244,-0.173870741,0.029453322,-0.068603953,-0.005787566,-0.020569795
Xenotilapia_ochrogenys,Xenoch_LPJ,T,T,9.710343,-0.061880343,0.04033812,0.036274463,0.005824997,-0.021865869
