Species,Individual,Tissue,Gene,Cq,DateRun
Lfuelleborni,6,CF,NOTCH1A,31.32192225,20201012
Lfuelleborni,6,CF,NOTCH1A,31.38216063,20201012
Lfuelleborni,6,CF,NOTCH1A,29.35956009,20201012
Lfuelleborni,6,OJ,NOTCH1A,31.60256086,20201012
Lfuelleborni,6,OJ,NOTCH1A,31.42435355,20201012
Lfuelleborni,6,OJ,NOTCH1A,29.72597988,20201012
Lfuelleborni,6,PJ,NOTCH1A,34.62831634,20201012
Lfuelleborni,6,PJ,NOTCH1A,33.45509554,20201012
Lfuelleborni,6,PJ,NOTCH1A,37.07271023,20201012
Lfuelleborni,6,CF,SMAD7,30.0883596,20201012
Lfuelleborni,6,CF,SMAD7,29.99986761,20201012
Lfuelleborni,6,CF,SMAD7,30.05179694,20201012
Lfuelleborni,6,OJ,SMAD7,31.13824263,20201012
Lfuelleborni,6,OJ,SMAD7,30.91165455,20201012
Lfuelleborni,6,OJ,SMAD7,30.84974663,20201012
Lfuelleborni,6,PJ,SMAD7,30.57951921,20201012
Lfuelleborni,6,PJ,SMAD7,29.88858323,20201012
Lfuelleborni,6,PJ,SMAD7,31.0467779,20201012
Lfuelleborni,7,CF,BACTIN,15.5285288,20201013
Lfuelleborni,7,CF,BACTIN,15.31403187,20201013
Lfuelleborni,7,CF,BACTIN,16.01060795,20201013
Lfuelleborni,7,OJ,BACTIN,16.11933658,20201013
Lfuelleborni,7,OJ,BACTIN,16.08259023,20201013
Lfuelleborni,7,OJ,BACTIN,17.26782136,20201013
Lfuelleborni,7,PJ,BACTIN,16.07230523,20201013
Lfuelleborni,7,PJ,BACTIN,16.21217458,20201013
Lfuelleborni,7,PJ,BACTIN,16.84871398,20201013
Lfuelleborni,7,CF,DYM,31.72564223,20201013
Lfuelleborni,7,CF,DYM,31.16832963,20201013
Lfuelleborni,7,CF,DYM,31.02361832,20201013
Lfuelleborni,7,OJ,DYM,33.26434129,20201013
Lfuelleborni,7,OJ,DYM,31.23681813,20201013
Lfuelleborni,7,OJ,DYM,30.98411459,20201013
Lfuelleborni,7,PJ,DYM,32.9544413,20201013
Lfuelleborni,7,PJ,DYM,32.24325043,20201013
Lfuelleborni,7,PJ,DYM,31.92449688,20201013
Lfuelleborni,7,CF,NOTCH1A,32.21849706,20201013
Lfuelleborni,7,CF,NOTCH1A,33.68391881,20201013
Lfuelleborni,7,CF,NOTCH1A,34.40448742,20201013
Lfuelleborni,7,OJ,NOTCH1A,36.70820403,20201013
Lfuelleborni,7,OJ,NOTCH1A,35.85443248,20201013
Lfuelleborni,7,OJ,NOTCH1A,37.04359987,20201013
Lfuelleborni,7,PJ,NOTCH1A,38.01570306,20201013
Lfuelleborni,7,PJ,NOTCH1A,37.53606856,20201013
Lfuelleborni,7,PJ,NOTCH1A,39.97490329,20201013
Lfuelleborni,7,CF,SMAD7,32.87079929,20201013
